"BehaviorSpace results (NetLogo 6.2.0)"
"Trabalho IIA1.nlogo"
"H1 - Energia - 10/25/50 - 10ITER"
"11/09/2021 02:24:07:668 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"Energia","10","10","10","10","10","10","10","10","10","10","25","25","25","25","25","25","25","25","25","25","50","50","50","50","50","50","50","50","50","50"
"[steps]","628","306","475","331","456","424","373","442","491","679","682","1238","1692","1417","1046","933","1074","1524","993","1936","2500","1998","2500","2500","2082","2500","2500","1886","2500","2207"

"[initial & final values]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","2","3","0","3","2","0","2","0"
