"BehaviorSpace results (NetLogo 6.2.0)"
"Trabalho IIA1.nlogo"
"H3M - RaioBOOOM - 3/5/10 - 10ITER"
"11/09/2021 02:28:08:778 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"BOOOM","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"AtivarBOOOM?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"RaioBOOOM","3","3","3","3","3","3","3","3","3","3","5","5","5","5","5","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10"
"[steps]","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500"

"[initial & final values]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"8","8","5","3","7","6","13","9","14","11","10","14","10","17","17","12","18","16","16","11","15","19","20","20","17","17","16","17","14","20"
